Episode,Total Profit,Successful Trades,Unsuccessful Trades,Profit-Loss Ratio (PLR),Portfolio Value
1,12330.306236266986,23,0,1.0,12322.807486266986
2,12330.306236266986,23,0,1.0,12322.807486266986
3,12330.306236266986,23,0,1.0,12322.807486266986
4,12330.306236266986,23,0,1.0,12322.807486266986
5,12330.306236266986,23,0,1.0,12322.807486266986
6,12330.306236266986,23,0,1.0,12322.807486266986
7,12330.306236266986,23,0,1.0,12322.807486266986
8,12330.306236266986,23,0,1.0,12322.807486266986
9,12330.306236266986,23,0,1.0,12322.807486266986
10,12330.306236266986,23,0,1.0,12322.807486266986
